countycode,answered_field,gender,age,livingstatus,elderly,city,cities,geo,response
1,n3_aging_travel,2.0,5.0,2.0,0,1,1,north,86
1,n3_aging_travel,2.0,6.0,1.0,0,1,1,north,19
1,n3_aging_travel,2.0,6.0,2.0,0,1,1,north,109
1,n3_aging_travel,2.0,6.0,3.0,0,1,1,north,1
1,n3_aging_travel,2.0,7.0,1.0,0,1,1,north,24
1,n3_aging_travel,2.0,7.0,2.0,0,1,1,north,179
1,n3_aging_travel,2.0,8.0,1.0,0,1,1,north,26
1,n3_aging_travel,2.0,8.0,2.0,0,1,1,north,176
1,n3_aging_travel,2.0,8.0,3.0,0,1,1,north,4
1,n3_aging_travel,2.0,9.0,1.0,0,1,1,north,20
1,n3_aging_travel,2.0,9.0,2.0,0,1,1,north,144
1,n3_aging_travel,2.0,9.0,3.0,0,1,1,north,1
1,n3_aging_travel,2.0,10.0,1.0,1,1,1,north,18
1,n3_aging_travel,2.0,10.0,2.0,1,1,1,north,100
1,n3_aging_travel,2.0,11.0,1.0,1,1,1,north,9
1,n3_aging_travel,2.0,11.0,2.0,1,1,1,north,31
1,n3_aging_travel,2.0,12.0,1.0,1,1,1,north,4
1,n3_aging_travel,2.0,12.0,2.0,1,1,1,north,11
1,n3_aging_travel,2.0,13.0,1.0,1,1,1,north,3
1,n3_aging_travel,2.0,13.0,2.0,1,1,1,north,15
1,n3_conv_transp,1.0,1.0,1.0,0,1,1,north,13
1,n3_conv_transp,1.0,1.0,2.0,0,1,1,north,18
1,n3_conv_transp,1.0,2.0,1.0,0,1,1,north,14
1,n3_conv_transp,1.0,2.0,2.0,0,1,1,north,29
1,n3_conv_transp,1.0,2.0,3.0,0,1,1,north,1
1,n3_conv_transp,1.0,3.0,1.0,0,1,1,north,14
1,n3_conv_transp,1.0,3.0,2.0,0,1,1,north,43
1,n3_conv_transp,1.0,3.0,3.0,0,1,1,north,1
1,n3_conv_transp,1.0,4.0,1.0,0,1,1,north,8
1,n3_conv_transp,1.0,4.0,2.0,0,1,1,north,44
1,n3_conv_transp,1.0,4.0,3.0,0,1,1,north,1
1,n3_conv_transp,1.0,5.0,1.0,0,1,1,north,7
1,n3_conv_transp,1.0,5.0,2.0,0,1,1,north,45
1,n3_conv_transp,1.0,6.0,1.0,0,1,1,north,7
1,n3_conv_transp,1.0,6.0,2.0,0,1,1,north,69
1,n3_conv_transp,1.0,6.0,3.0,0,1,1,north,3
1,n3_conv_transp,1.0,7.0,1.0,0,1,1,north,8
1,n3_conv_transp,1.0,7.0,2.0,0,1,1,north,80
1,n3_conv_transp,1.0,8.0,1.0,0,1,1,north,10
1,n3_conv_transp,1.0,8.0,2.0,0,1,1,north,73
1,n3_conv_transp,1.0,9.0,1.0,0,1,1,north,7
1,n3_conv_transp,1.0,9.0,2.0,0,1,1,north,92
1,n3_conv_transp,1.0,10.0,1.0,1,1,1,north,6
1,n3_conv_transp,1.0,10.0,2.0,1,1,1,north,74
1,n3_conv_transp,1.0,10.0,3.0,1,1,1,north,1
1,n3_conv_transp,1.0,11.0,1.0,1,1,1,north,7
1,n3_conv_transp,1.0,11.0,2.0,1,1,1,north,30
1,n3_conv_transp,1.0,12.0,1.0,1,1,1,north,2
1,n3_conv_transp,1.0,12.0,2.0,1,1,1,north,19
1,n3_conv_transp,1.0,13.0,1.0,1,1,1,north,3
1,n3_conv_transp,1.0,13.0,2.0,1,1,1,north,8
1,n3_conv_transp,1.0,13.0,3.0,1,1,1,north,1
1,n3_conv_transp,2.0,1.0,1.0,0,1,1,north,32
1,n3_conv_transp,2.0,1.0,2.0,0,1,1,north,83
1,n3_conv_transp,2.0,2.0,1.0,0,1,1,north,32
1,n3_conv_transp,2.0,2.0,2.0,0,1,1,north,102
1,n3_conv_transp,2.0,2.0,3.0,0,1,1,north,1
1,n3_conv_transp,2.0,3.0,1.0,0,1,1,north,22
1,n3_conv_transp,2.0,3.0,2.0,0,1,1,north,125
1,n3_conv_transp,2.0,3.0,3.0,0,1,1,north,2
1,n3_conv_transp,2.0,4.0,1.0,0,1,1,north,33
1,n3_conv_transp,2.0,4.0,2.0,0,1,1,north,156
1,n3_conv_transp,2.0,5.0,1.0,0,1,1,north,35
1,n3_conv_transp,2.0,5.0,2.0,0,1,1,north,160
1,n3_conv_transp,2.0,5.0,3.0,0,1,1,north,2
1,n3_conv_transp,2.0,6.0,1.0,0,1,1,north,32
1,n3_conv_transp,2.0,6.0,2.0,0,1,1,north,204
1,n3_conv_transp,2.0,6.0,3.0,0,1,1,north,1
1,n3_conv_transp,2.0,7.0,1.0,0,1,1,north,49
1,n3_conv_transp,2.0,7.0,2.0,0,1,1,north,307
1,n3_conv_transp,2.0,7.0,3.0,0,1,1,north,1
1,n3_conv_transp,2.0,8.0,1.0,0,1,1,north,44
1,n3_conv_transp,2.0,8.0,2.0,0,1,1,north,260
1,n3_conv_transp,2.0,9.0,1.0,0,1,1,north,36
1,n3_conv_transp,2.0,9.0,2.0,0,1,1,north,237
1,n3_conv_transp,2.0,9.0,3.0,0,1,1,north,2
1,n3_conv_transp,2.0,10.0,1.0,1,1,1,north,35
1,n3_conv_transp,2.0,10.0,2.0,1,1,1,north,134
1,n3_conv_transp,2.0,10.0,3.0,1,1,1,north,1
1,n3_conv_transp,2.0,11.0,1.0,1,1,1,north,12
1,n3_conv_transp,2.0,11.0,2.0,1,1,1,north,51
1,n3_conv_transp,2.0,12.0,1.0,1,1,1,north,6
1,n3_conv_transp,2.0,12.0,2.0,1,1,1,north,24
1,n3_conv_transp,2.0,12.0,3.0,1,1,1,north,1
1,n3_conv_transp,2.0,13.0,1.0,1,1,1,north,2
1,n3_conv_transp,2.0,13.0,2.0,1,1,1,north,17
1,n3_eat_nutri,1.0,1.0,1.0,0,1,1,north,20
1,n3_eat_nutri,1.0,1.0,2.0,0,1,1,north,49
1,n3_eat_nutri,1.0,2.0,1.0,0,1,1,north,41
1,n3_eat_nutri,1.0,2.0,2.0,0,1,1,north,87
1,n3_eat_nutri,1.0,2.0,3.0,0,1,1,north,3
1,n3_eat_nutri,1.0,3.0,1.0,0,1,1,north,38
1,n3_eat_nutri,1.0,3.0,2.0,0,1,1,north,91
1,n3_eat_nutri,1.0,3.0,3.0,0,1,1,north,1
1,n3_eat_nutri,1.0,4.0,1.0,0,1,1,north,17
1,n3_eat_nutri,1.0,4.0,2.0,0,1,1,north,97
1,n3_eat_nutri,1.0,4.0,3.0,0,1,1,north,1
1,n3_eat_nutri,1.0,5.0,1.0,0,1,1,north,15
1,n3_eat_nutri,1.0,5.0,2.0,0,1,1,north,107
1,n3_eat_nutri,1.0,5.0,3.0,0,1,1,north,1
1,n3_eat_nutri,1.0,6.0,1.0,0,1,1,north,17
1,n3_eat_nutri,1.0,6.0,2.0,0,1,1,north,122
1,n3_eat_nutri,1.0,6.0,3.0,0,1,1,north,1
1,n3_eat_nutri,1.0,7.0,1.0,0,1,1,north,17
1,n3_eat_nutri,1.0,7.0,2.0,0,1,1,north,137
1,n3_eat_nutri,1.0,7.0,3.0,0,1,1,north,2
1,n3_eat_nutri,1.0,8.0,1.0,0,1,1,north,11
1,n3_eat_nutri,1.0,8.0,2.0,0,1,1,north,129
1,n3_eat_nutri,1.0,8.0,3.0,0,1,1,north,1
1,n3_eat_nutri,1.0,9.0,1.0,0,1,1,north,17
1,n3_eat_nutri,1.0,9.0,2.0,0,1,1,north,144
1,n3_eat_nutri,1.0,9.0,3.0,0,1,1,north,1
1,n3_eat_nutri,1.0,10.0,1.0,1,1,1,north,9
1,n3_eat_nutri,1.0,10.0,2.0,1,1,1,north,111
1,n3_eat_nutri,1.0,11.0,1.0,1,1,1,north,2
1,n3_eat_nutri,1.0,11.0,2.0,1,1,1,north,48
1,n3_eat_nutri,1.0,12.0,1.0,1,1,1,north,1
1,n3_eat_nutri,1.0,12.0,2.0,1,1,1,north,17
1,n3_eat_nutri,1.0,13.0,1.0,1,1,1,north,8
1,n3_eat_nutri,1.0,13.0,2.0,1,1,1,north,24
1,n3_eat_nutri,1.0,13.0,3.0,1,1,1,north,1
1,n3_eat_nutri,2.0,1.0,1.0,0,1,1,north,58
1,n3_eat_nutri,2.0,1.0,2.0,0,1,1,north,160
1,n3_eat_nutri,2.0,2.0,1.0,0,1,1,north,62
1,n3_eat_nutri,2.0,2.0,2.0,0,1,1,north,209
1,n3_eat_nutri,2.0,3.0,1.0,0,1,1,north,56
1,n3_eat_nutri,2.0,3.0,2.0,0,1,1,north,179
1,n3_eat_nutri,2.0,3.0,3.0,0,1,1,north,4
1,n3_eat_nutri,2.0,4.0,1.0,0,1,1,north,59
1,n3_eat_nutri,2.0,4.0,2.0,0,1,1,north,234
1,n3_eat_nutri,2.0,4.0,3.0,0,1,1,north,3
1,n3_eat_nutri,2.0,5.0,1.0,0,1,1,north,31
1,n3_eat_nutri,2.0,5.0,2.0,0,1,1,north,199
1,n3_eat_nutri,2.0,5.0,3.0,0,1,1,north,5
1,n3_eat_nutri,2.0,6.0,1.0,0,1,1,north,44
1,n3_eat_nutri,2.0,6.0,2.0,0,1,1,north,240
1,n3_eat_nutri,2.0,6.0,3.0,0,1,1,north,2
1,n3_eat_nutri,2.0,7.0,1.0,0,1,1,north,60
1,n3_eat_nutri,2.0,7.0,2.0,0,1,1,north,378
1,n3_eat_nutri,2.0,7.0,3.0,0,1,1,north,2
1,n3_eat_nutri,2.0,8.0,1.0,0,1,1,north,42
1,n3_eat_nutri,2.0,8.0,2.0,0,1,1,north,348
1,n3_eat_nutri,2.0,8.0,3.0,0,1,1,north,5
1,n3_eat_nutri,2.0,9.0,1.0,0,1,1,north,48
1,n3_eat_nutri,2.0,9.0,2.0,0,1,1,north,263
1,n3_eat_nutri,2.0,10.0,1.0,1,1,1,north,39
1,n3_eat_nutri,2.0,10.0,2.0,1,1,1,north,179
1,n3_eat_nutri,2.0,10.0,3.0,1,1,1,north,2
1,n3_eat_nutri,2.0,11.0,1.0,1,1,1,north,11
1,n3_eat_nutri,2.0,11.0,2.0,1,1,1,north,64
1,n3_eat_nutri,2.0,12.0,1.0,1,1,1,north,5
1,n3_eat_nutri,2.0,12.0,2.0,1,1,1,north,34
1,n3_eat_nutri,2.0,12.0,3.0,1,1,1,north,1
1,n3_eat_nutri,2.0,13.0,1.0,1,1,1,north,6
1,n3_eat_nutri,2.0,13.0,2.0,1,1,1,north,15
1,n3_health_risk,1.0,1.0,1.0,0,1,1,north,12
1,n3_health_risk,1.0,1.0,2.0,0,1,1,north,49
1,n3_health_risk,1.0,2.0,1.0,0,1,1,north,17
1,n3_health_risk,1.0,2.0,2.0,0,1,1,north,57
1,n3_health_risk,1.0,3.0,1.0,0,1,1,north,22
1,n3_health_risk,1.0,3.0,2.0,0,1,1,north,71
1,n3_health_risk,1.0,3.0,3.0,0,1,1,north,1
1,n3_health_risk,1.0,4.0,1.0,0,1,1,north,18
1,n3_health_risk,1.0,4.0,2.0,0,1,1,north,96
1,n3_health_risk,1.0,4.0,3.0,0,1,1,north,2
1,n3_health_risk,1.0,5.0,1.0,0,1,1,north,16
1,n3_health_risk,1.0,5.0,2.0,0,1,1,north,74
1,n3_health_risk,1.0,5.0,3.0,0,1,1,north,1
1,n3_health_risk,1.0,6.0,1.0,0,1,1,north,4
1,n3_health_risk,1.0,6.0,2.0,0,1,1,north,111
1,n3_health_risk,1.0,6.0,3.0,0,1,1,north,1
1,n3_health_risk,1.0,7.0,1.0,0,1,1,north,15
1,n3_health_risk,1.0,7.0,2.0,0,1,1,north,133
1,n3_health_risk,1.0,7.0,3.0,0,1,1,north,1
1,n3_health_risk,1.0,8.0,1.0,0,1,1,north,4
1,n3_health_risk,1.0,8.0,2.0,0,1,1,north,140
1,n3_health_risk,1.0,9.0,1.0,0,1,1,north,7
1,n3_health_risk,1.0,9.0,2.0,0,1,1,north,118
1,n3_health_risk,1.0,10.0,1.0,1,1,1,north,8
1,n3_health_risk,1.0,10.0,2.0,1,1,1,north,74
1,n3_health_risk,1.0,11.0,1.0,1,1,1,north,9
1,n3_health_risk,1.0,11.0,2.0,1,1,1,north,27
1,n3_health_risk,1.0,12.0,1.0,1,1,1,north,1
1,n3_health_risk,1.0,12.0,2.0,1,1,1,north,10
1,n3_health_risk,1.0,13.0,1.0,1,1,1,north,2
1,n3_health_risk,1.0,13.0,2.0,1,1,1,north,9
1,n3_health_risk,1.0,13.0,3.0,1,1,1,north,1
1,n3_health_risk,2.0,1.0,1.0,0,1,1,north,34
1,n3_health_risk,2.0,1.0,2.0,0,1,1,north,89
1,n3_health_risk,2.0,2.0,1.0,0,1,1,north,35
1,n3_health_risk,2.0,2.0,2.0,0,1,1,north,138
1,n3_health_risk,2.0,3.0,1.0,0,1,1,north,30
1,n3_health_risk,2.0,3.0,2.0,0,1,1,north,122
1,n3_health_risk,2.0,3.0,3.0,0,1,1,north,1
1,n3_health_risk,2.0,4.0,1.0,0,1,1,north,29
1,n3_health_risk,2.0,4.0,2.0,0,1,1,north,149
1,n3_health_risk,2.0,4.0,3.0,0,1,1,north,1
1,n3_health_risk,2.0,5.0,1.0,0,1,1,north,22
1,n3_health_risk,2.0,5.0,2.0,0,1,1,north,124
1,n3_health_risk,2.0,5.0,3.0,0,1,1,north,1
1,n3_health_risk,2.0,6.0,1.0,0,1,1,north,38
1,n3_health_risk,2.0,6.0,2.0,0,1,1,north,185
1,n3_health_risk,2.0,6.0,3.0,0,1,1,north,1
1,n3_health_risk,2.0,7.0,1.0,0,1,1,north,30
1,n3_health_risk,2.0,7.0,2.0,0,1,1,north,250
1,n3_health_risk,2.0,7.0,3.0,0,1,1,north,2
1,n3_health_risk,2.0,8.0,1.0,0,1,1,north,23
1,n3_health_risk,2.0,8.0,2.0,0,1,1,north,211
1,n3_health_risk,2.0,9.0,1.0,0,1,1,north,32
1,n3_health_risk,2.0,9.0,2.0,0,1,1,north,163
1,n3_health_risk,2.0,9.0,3.0,0,1,1,north,1
1,n3_health_risk,2.0,10.0,1.0,1,1,1,north,10
1,n3_health_risk,2.0,10.0,2.0,1,1,1,north,101
1,n3_health_risk,2.0,10.0,3.0,1,1,1,north,2
1,n3_health_risk,2.0,11.0,1.0,1,1,1,north,2
1,n3_health_risk,2.0,11.0,2.0,1,1,1,north,33
1,n3_health_risk,2.0,12.0,1.0,1,1,1,north,4
1,n3_health_risk,2.0,12.0,2.0,1,1,1,north,12
1,n3_health_risk,2.0,13.0,2.0,1,1,1,north,11
1,n3_learn_activ,1.0,1.0,1.0,0,1,1,north,11
1,n3_learn_activ,1.0,1.0,2.0,0,1,1,north,36
1,n3_learn_activ,1.0,2.0,1.0,0,1,1,north,24
1,n3_learn_activ,1.0,2.0,2.0,0,1,1,north,33
1,n3_learn_activ,1.0,2.0,3.0,0,1,1,north,2
1,n3_learn_activ,1.0,3.0,1.0,0,1,1,north,11
1,n3_learn_activ,1.0,3.0,2.0,0,1,1,north,31
1,n3_learn_activ,1.0,3.0,3.0,0,1,1,north,1
1,n3_learn_activ,1.0,4.0,1.0,0,1,1,north,16
1,n3_learn_activ,1.0,4.0,2.0,0,1,1,north,36
1,n3_learn_activ,1.0,5.0,1.0,0,1,1,north,5
1,n3_learn_activ,1.0,5.0,2.0,0,1,1,north,34
1,n3_learn_activ,1.0,6.0,1.0,0,1,1,north,8
1,n3_learn_activ,1.0,6.0,2.0,0,1,1,north,53
1,n3_learn_activ,1.0,7.0,1.0,0,1,1,north,8
1,n3_learn_activ,1.0,7.0,2.0,0,1,1,north,64
1,n3_learn_activ,1.0,7.0,3.0,0,1,1,north,1
1,n3_learn_activ,1.0,8.0,1.0,0,1,1,north,2
1,n3_learn_activ,1.0,8.0,2.0,0,1,1,north,68
1,n3_learn_activ,1.0,9.0,1.0,0,1,1,north,3
1,n3_learn_activ,1.0,9.0,2.0,0,1,1,north,61
1,n3_learn_activ,1.0,10.0,1.0,1,1,1,north,8
1,n3_learn_activ,1.0,10.0,2.0,1,1,1,north,49
1,n3_learn_activ,1.0,11.0,1.0,1,1,1,north,1
1,n3_learn_activ,1.0,11.0,2.0,1,1,1,north,22
1,n3_learn_activ,1.0,12.0,2.0,1,1,1,north,7
1,n3_learn_activ,1.0,13.0,1.0,1,1,1,north,2
1,n3_learn_activ,1.0,13.0,2.0,1,1,1,north,4
1,n3_learn_activ,1.0,13.0,3.0,1,1,1,north,2
1,n3_learn_activ,2.0,1.0,1.0,0,1,1,north,27
1,n3_learn_activ,2.0,1.0,2.0,0,1,1,north,57
1,n3_learn_activ,2.0,2.0,1.0,0,1,1,north,34
1,n3_learn_activ,2.0,2.0,2.0,0,1,1,north,101
1,n3_learn_activ,2.0,3.0,1.0,0,1,1,north,28
1,n3_learn_activ,2.0,3.0,2.0,0,1,1,north,98
1,n3_learn_activ,2.0,3.0,3.0,0,1,1,north,1
1,n3_learn_activ,2.0,4.0,1.0,0,1,1,north,27
1,n3_learn_activ,2.0,4.0,2.0,0,1,1,north,107
1,n3_learn_activ,2.0,4.0,3.0,0,1,1,north,2
1,n3_learn_activ,2.0,5.0,1.0,0,1,1,north,20
1,n3_learn_activ,2.0,5.0,2.0,0,1,1,north,100
1,n3_learn_activ,2.0,5.0,3.0,0,1,1,north,1
1,n3_learn_activ,2.0,6.0,1.0,0,1,1,north,27
1,n3_learn_activ,2.0,6.0,2.0,0,1,1,north,142
1,n3_learn_activ,2.0,6.0,3.0,0,1,1,north,3
1,n3_learn_activ,2.0,7.0,1.0,0,1,1,north,34
1,n3_learn_activ,2.0,7.0,2.0,0,1,1,north,281
1,n3_learn_activ,2.0,7.0,3.0,0,1,1,north,1
1,n3_learn_activ,2.0,8.0,1.0,0,1,1,north,46
1,n3_learn_activ,2.0,8.0,2.0,0,1,1,north,277
1,n3_learn_activ,2.0,8.0,3.0,0,1,1,north,4
1,n3_learn_activ,2.0,9.0,1.0,0,1,1,north,41
1,n3_learn_activ,2.0,9.0,2.0,0,1,1,north,254
1,n3_learn_activ,2.0,9.0,3.0,0,1,1,north,3
1,n3_learn_activ,2.0,10.0,1.0,1,1,1,north,28
1,n3_learn_activ,2.0,10.0,2.0,1,1,1,north,132
1,n3_learn_activ,2.0,10.0,3.0,1,1,1,north,2
1,n3_learn_activ,2.0,11.0,1.0,1,1,1,north,5
1,n3_learn_activ,2.0,11.0,2.0,1,1,1,north,37
1,n3_learn_activ,2.0,12.0,1.0,1,1,1,north,8
1,n3_learn_activ,2.0,12.0,2.0,1,1,1,north,18
1,n3_learn_activ,2.0,12.0,3.0,1,1,1,north,1
1,n3_learn_activ,2.0,13.0,1.0,1,1,1,north,2
1,n3_learn_activ,2.0,13.0,2.0,1,1,1,north,4
1,n3_learn_activ,2.0,13.0,3.0,1,1,1,north,1
1,n3_med_diagno,1.0,1.0,1.0,0,1,1,north,10
1,n3_med_diagno,1.0,1.0,2.0,0,1,1,north,21
1,n3_med_diagno,1.0,2.0,1.0,0,1,1,north,14
1,n3_med_diagno,1.0,2.0,2.0,0,1,1,north,48
1,n3_med_diagno,1.0,3.0,1.0,0,1,1,north,16
1,n3_med_diagno,1.0,3.0,2.0,0,1,1,north,35
1,n3_med_diagno,1.0,4.0,1.0,0,1,1,north,15
1,n3_med_diagno,1.0,4.0,2.0,0,1,1,north,78
1,n3_med_diagno,1.0,5.0,1.0,0,1,1,north,11
1,n3_med_diagno,1.0,5.0,2.0,0,1,1,north,87
1,n3_med_diagno,1.0,6.0,1.0,0,1,1,north,12
1,n3_med_diagno,1.0,6.0,2.0,0,1,1,north,121
1,n3_med_diagno,1.0,6.0,3.0,0,1,1,north,1
1,n3_med_diagno,1.0,7.0,1.0,0,1,1,north,10
1,n3_med_diagno,1.0,7.0,2.0,0,1,1,north,137
1,n3_med_diagno,1.0,7.0,3.0,0,1,1,north,3
1,n3_med_diagno,1.0,8.0,1.0,0,1,1,north,13
1,n3_med_diagno,1.0,8.0,2.0,0,1,1,north,146
1,n3_med_diagno,1.0,8.0,3.0,0,1,1,north,1
1,n3_med_diagno,1.0,9.0,1.0,0,1,1,north,12
1,n3_med_diagno,1.0,9.0,2.0,0,1,1,north,126
1,n3_med_diagno,1.0,9.0,3.0,0,1,1,north,1
1,n3_med_diagno,1.0,10.0,1.0,1,1,1,north,10
1,n3_med_diagno,1.0,10.0,2.0,1,1,1,north,119
1,n3_med_diagno,1.0,11.0,1.0,1,1,1,north,8
1,n3_med_diagno,1.0,11.0,2.0,1,1,1,north,58
1,n3_med_diagno,1.0,12.0,1.0,1,1,1,north,3
1,n3_med_diagno,1.0,12.0,2.0,1,1,1,north,27
1,n3_med_diagno,1.0,12.0,3.0,1,1,1,north,1
1,n3_med_diagno,1.0,13.0,1.0,1,1,1,north,3
1,n3_med_diagno,1.0,13.0,2.0,1,1,1,north,12
1,n3_med_diagno,1.0,13.0,3.0,1,1,1,north,1
1,n3_med_diagno,2.0,1.0,1.0,0,1,1,north,20
1,n3_med_diagno,2.0,1.0,2.0,0,1,1,north,65
1,n3_med_diagno,2.0,2.0,1.0,0,1,1,north,27
1,n3_med_diagno,2.0,2.0,2.0,0,1,1,north,91
1,n3_med_diagno,2.0,2.0,3.0,0,1,1,north,2
1,n3_med_diagno,2.0,3.0,1.0,0,1,1,north,20
1,n3_med_diagno,2.0,3.0,2.0,0,1,1,north,100
1,n3_med_diagno,2.0,3.0,3.0,0,1,1,north,1
1,n3_med_diagno,2.0,4.0,1.0,0,1,1,north,30
1,n3_med_diagno,2.0,4.0,2.0,0,1,1,north,176
1,n3_med_diagno,2.0,4.0,3.0,0,1,1,north,1
1,n3_med_diagno,2.0,5.0,1.0,0,1,1,north,22
1,n3_med_diagno,2.0,5.0,2.0,0,1,1,north,181
1,n3_med_diagno,2.0,5.0,3.0,0,1,1,north,2
1,n3_med_diagno,2.0,6.0,1.0,0,1,1,north,30
1,n3_med_diagno,2.0,6.0,2.0,0,1,1,north,211
1,n3_med_diagno,2.0,6.0,3.0,0,1,1,north,1
1,n3_med_diagno,2.0,7.0,1.0,0,1,1,north,47
1,n3_med_diagno,2.0,7.0,2.0,0,1,1,north,345
1,n3_med_diagno,2.0,7.0,3.0,0,1,1,north,1
1,n3_med_diagno,2.0,8.0,1.0,0,1,1,north,39
1,n3_med_diagno,2.0,8.0,2.0,0,1,1,north,360
1,n3_med_diagno,2.0,8.0,3.0,0,1,1,north,3
1,n3_med_diagno,2.0,9.0,1.0,0,1,1,north,50
1,n3_med_diagno,2.0,9.0,2.0,0,1,1,north,264
1,n3_med_diagno,2.0,9.0,3.0,0,1,1,north,1
1,n3_med_diagno,2.0,10.0,1.0,1,1,1,north,33
1,n3_med_diagno,2.0,10.0,2.0,1,1,1,north,167
1,n3_med_diagno,2.0,11.0,1.0,1,1,1,north,16
1,n3_med_diagno,2.0,11.0,2.0,1,1,1,north,62
1,n3_med_diagno,2.0,12.0,1.0,1,1,1,north,9
1,n3_med_diagno,2.0,12.0,2.0,1,1,1,north,25
1,n3_med_diagno,2.0,12.0,3.0,1,1,1,north,2
1,n3_med_diagno,2.0,13.0,1.0,1,1,1,north,5
1,n3_med_diagno,2.0,13.0,2.0,1,1,1,north,20
1,n3_med_diagno,2.0,13.0,3.0,1,1,1,north,1
1,n3_safe_drive,1.0,1.0,1.0,0,1,1,north,5
1,n3_safe_drive,1.0,1.0,2.0,0,1,1,north,17
1,n3_safe_drive,1.0,2.0,1.0,0,1,1,north,9
1,n3_safe_drive,1.0,2.0,2.0,0,1,1,north,25
1,n3_safe_drive,1.0,2.0,3.0,0,1,1,north,1
1,n3_safe_drive,1.0,3.0,1.0,0,1,1,north,6
1,n3_safe_drive,1.0,3.0,2.0,0,1,1,north,17
1,n3_safe_drive,1.0,4.0,1.0,0,1,1,north,2
1,n3_safe_drive,1.0,4.0,2.0,0,1,1,north,22
1,n3_safe_drive,1.0,5.0,1.0,0,1,1,north,4
1,n3_safe_drive,1.0,5.0,2.0,0,1,1,north,20
1,n3_safe_drive,1.0,6.0,1.0,0,1,1,north,5
1,n3_safe_drive,1.0,6.0,2.0,0,1,1,north,36
1,n3_safe_drive,1.0,7.0,1.0,0,1,1,north,3
1,n3_safe_drive,1.0,7.0,2.0,0,1,1,north,35
1,n3_safe_drive,1.0,8.0,1.0,0,1,1,north,2
1,n3_safe_drive,1.0,8.0,2.0,0,1,1,north,30
1,n3_safe_drive,1.0,9.0,1.0,0,1,1,north,2
1,n3_safe_drive,1.0,9.0,2.0,0,1,1,north,21
1,n3_safe_drive,1.0,10.0,1.0,1,1,1,north,4
1,n3_safe_drive,1.0,10.0,2.0,1,1,1,north,20
1,n3_safe_drive,1.0,11.0,1.0,1,1,1,north,3
1,n3_safe_drive,1.0,11.0,2.0,1,1,1,north,9
1,n3_safe_drive,1.0,12.0,2.0,1,1,1,north,6
1,n3_safe_drive,1.0,13.0,1.0,1,1,1,north,1
